Year,Publication,Title,First Author,Affiliation,Process,Loss (dB),Loss Frequency (GHz),Speed (Gb/s),Power(mW),Energy/Bit [pJ],
2006,ISSCC,A 20Gb/s Forwarded Clock Transceiver in 90nm CMOS B.,B. casper,Intel,90,16,,20,237,11.85,
2006,ISSCC,A 9.95 to 11.1Gb/s XFP transceiver in 0.13/spl mu/m CMOS,J. Kenney,Analog Devices,130,,,11.1,793,71.44,
2006,ISSCC,A 20Gb/s Embedded Clock Transceiver in 90nm CMOS,B. casper,Intel,90,15,,20,318,15.90,
2006,ISSCC,A 20Gb/s Bidirectional Transceiver Using a Resistor-Transconductor Hybrid,Y. Tomita,Keio Univ,110,5,,20,263,13.15,
2006,CICC,A Multi-Standard Low Power 1.5-3.125 Gb/s Serial Transceiver in 90nm CMOS,D. A. Yokoyama-Martin,Synopsys,90,,,3.125,48.7,15.58,
2006,ESSCIRC,A 6-Gbps/pin 4.2mW/pin Half-Deuplex Pseudo-LVDS Transceiver,Sua Kim,Sungkyunkwan Univ,80,,,6,25.2,4.20,
2006,ESSCIRC,8Gbps Parallel Data Transmission with Adaptive I/O Circuit,E. Takahashi,MIRAI,130,,,2,250,125.00,
2005,VLSI,A quad 3.125 Gbps transceiver cell with all-digital data recovery circuits,Bong-Joon Lee,SNU,130,,,3.125,49,15.68,
2005,ISSCC,A 5Gb/s NRZ transceiver with adaptive equalization for backplane transmission,N. Krishnapura,Vitesse,130,9.9,,5.15,2100,407.77,
2005,ISSCC,A 0.6 to 9.6Gb/s binary backplane transceiver core in 0.13?m CMOS,K. Krishna,Synopsys,130,,,6.25,150,24.00,
2005,ISSCC,12Gb/s duobinary signaling with ?2 oversampled edge equalization,K. Yamaguchi,NEC,90,,,12,230,19.17,
2005,ISSCC,A 3Gb/s 8b single-ended transceiver for 4-drop DRAM interface with digital calibration of equalization skew and offset coefficients,Seung-Jun Bae,Pohang,250,,,3,152.25,50.75,
2005,ISSCC,A 6.4Gb/s CMOS SerDes core with feedforward and decision-feedback equalization,M. Sorna,IBM,130,32,,6.25,290,46.40,
2005,CICC,A 0.8-1.3V 16-channel 2.5Gb/s high-speed serial transceiver in a 90nm standard CMOS process,Y. Doi,Fujitsu,90,10,,2.5,23,9.20,
2005,ASSCC,A Sub-1V CMOS 2.5Gb/s Serial Link Transceiver Using 2X Oversampling,Chih-Chien Hung,Realtek,130,,,2.5,70,28.00,
2004,VLSI,5-6.4 Gbps 12 channel transceiver with pre-emphasis and equalizer,H. Higashi,Fujistu,110,,,6.4,247.5,38.67,
2004,VLSI,A 1-4 Gbps quad transceiver cell using PLL with gate-current leakage compensator in 90nm CMOS,Y. Frans,Rambus,90,,,3.125,73,23.36,
2004,VLSI,A 4-channel 3.125Gb/s/ch CMOS transceiver with 30dB equalization,Weixin Gai,Fujistu,110,30,,3.125,250,80.00,
2004,ISSCC,A fully integrated 0.13 ?m CMOS 10 Gb Ethernet transceiver with XAUI interface,Hyung-Rok Lee,SNU,130,,,22.5,898,39.91,
2004,ISSCC,An 800 mW 10 Gb Ethernet transceiver in 0.13 ?m CMOS,S. Sidiropoulos,Aeluros,130,,,22.8,800,35.09,
2004,ISSCC,A 10 Gb/s SONET-compliant CMOS transceiver with low cross-talk and intrinsic jitter,H. Werker,Xignal,130,,,10.7,980,91.59,
2004,ISSCC,A quad-channel 3.125Gb/s/ch serial-link transceiver with mixed-mode adaptive equalizer in 0.18 ?m CMOS,Jeongsik Yang,Berkana,180,,,3.125,180,57.60,
2004,ISSCC,"An 8Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation and clock deskew",J E Jaussi,Intel,130,,,8,280,35.00,
2004,CICC,A 2.5-3.125 Gb/s quad transceiver with second order analog DLL based CDRs,A. L. Coban,Mindspeed,150,,,3.125,65,20.80,
2004,ESSCIRC,A 2.5 Gbps - 3.125 Gbps multi-core serial-link transceiver in 0.13 ?m CMOS,T. Geurts,AnSem,130,,,3.125,140,44.80,
2003,VLSI,0.622-8.0 Gbps 150 mW serial IO macrocell with fully flexible preemphasis and equalization,R. Farjad-Rad,Velio,130,,,8,150,18.75,
2003,VLSI,A 27-mW 3.6-Gb/s I/O transceiver,K. L. J. Wong,UCLA,180,,,3.6,27,7.50,
2003,ISSCC,A CMOS multi-channel 10Gb/s transceiver,H. Takauchi,Fujistu,110,,,10,415,41.50,
2003,ISSCC,A 2.5-10Gb/s CMOS transceiver with alternating edge sampling phase detection for loop characteristic stabilization,Bong-Joon Lee,SNU,180,,,10,540,54.00,
2003,ISSCC,8Gb/s differential simultaneous bidirectional link with 4mV 9ps waveform capture diagnostic capability,A. Martin,Intel,180,,,8,120,15.00,
2003,ISSCC,A 2.7 Gb/s CDMA-interconnect transceiver chip set with multi-level signal data recovery for re-configurable VLSI systems,Zhiwei Xu,UCLA,180,,,2.7,74,27.41,
2003,CICC,A low-power 0.13?m CMOS OC-48 SONET and XAUI compliant SERDES,R. Wadhwa,Multilink,130,,,3.125,160,51.20,
2003,CICC,A fully-integrated 10.5 to 13.5 Gbps transceiver in 0.13 ?m CMOS,G. Miao,Multilink,130,,,10.88,1000,91.91,
2003,ESSCIRC,A serial 10 gigabit Ethernet transceiver on digital 0.13/spl mu/m CMOS,Bin Wu,BitBlitz,130,,,22.5,1500,66.67,
2002,VLSI,A 0.13-/spl mu/m CMOS 5-Gb/s 10-meter 28 AWG cable transceiver with no-feedback-loop continuous-time post-equalizer,Y. Kudoh,NEC,130,9,,5,300,60.00,
2002,VLSI,A 0.4-4 Gb/s CMOS quad transceiver cell using on-chip regulated dual-loop PLLs,K. Y. K. Chang,Rambus,130,,,4,128,32.00,
2002,CICC,"A 10Gbase Ethernet transceiver (LAN PHY) in a 1.8 V, 0.18 ?m SOI/CMOS technology",Yoshimura,Mitsubishi,180,,,22.5,2900,128.89,
2002,ISSCC,A quad 3.125Gbps/channel transceiver with analog phase rotators,Dong Deng,BitBlitz,180,,,3.125,85,27.20,
2002,ISSCC,A 100Gb/s transceiver with GND-VDD common-mode receiver and flexible multi-channel aligner,K. Tanaka,NEC,130,,,5,378,75.60,
2001,ISSCC,A 2Gb/s 21CH Low-Latency Transceiver Circuit for Inter-Processor Communication,"Tanahashi, T.",NEC,130,,,2,157.5,78.75,
2001,ISSCC,Fully-integrated SONET OC48 transceiver in standard CMOS,"Momtaz, A",Broadcom,180,,,2.666,500,187.55,
2001,ISSCC,A 0.6-2.5 GBaud CMOS tracked 3/spl times/ oversampling transceiver with dead-zone phase detection for robust clock/data recovery,Yongsam Moon,SNU,250,,,2.5,269,107.60,
